Team 1,Team 2,Winner
Austria,Iceland,Iceland 
Belgium,Sweden,Belgium
Croatia,Spain,Croatia 
Czech Republic,Turkey,Turkey 
England,Slovakia,Draw
Germany,Northern Ireland,Germany
Hungary,Portugal,Draw
Italy,Republic of Ireland,Republic of Ireland
Poland,Ukraine,Poland
Russia,Wales,Wales
