2,Belgium,1
4,Germany,2
6,Spain,3
8,Portugal,4
10,Austria,5
11,England,6
12,Italy,7
18,Turkey,8
19,Ukraine,9
20,Hungary,10
24,Slovakia,11
25,Northern Ireland,12
26,Wales,13
27,Croatia,14
27,Poland,15
29,Russia,16
30,Czech Republic,17
33,Republic of Ireland,18
34,Iceland,19
35,Sweden,20
