Date,Team,Possession ,Shots,On target,Off target,Goals Scored,Goals Against
8/9/2014,Slovakia ,45,6,2,4,1,0
9/10/2014,Slovakia ,33,5,4,1,2,1
12/10/2014,Slovakia ,48,13,8,5,3,1
15/11/2014,Slovakia ,46,7,3,4,2,0
27/3/2015,Slovakia ,59,11,7,4,3,0
14/6/2015,Slovakia ,53,10,6,4,2,1
5/9/2015,Slovakia ,25,5,2,3,0,2
8/9/2015,Slovakia ,42,9,2,7,0,0
9/10/2015,Slovakia ,57,14,7,7,0,1
12/10/2015,Slovakia ,54,15,7,8,4,2
