Date,Team,Possession ,Shots,On target,Off target,Goals Scored,Goals Against
7/9/2014,Germany,64,20,10,10,2,1
11/10/2014,Germany,62,19,8,11,0,2
14/10/2014,Germany,63,14,8,6,1,1
14/11/2014,Germany,75,27,8,19,4,0
29/3/2015,Germany,71,14,6,8,2,0
13/6/2015,Germany,67,24,17,7,7,0
4/9/2015,Germany,66,17,9,8,3,1
7/9/2015,Germany,68,9,6,3,3,2
8/10/2015,Germany,67,12,4,8,0,1
11/10/2015,Germany,66,22,15,7,2,1
