Date,Team,Possession ,Shots,On target,Off target,Goals Scored,Goals Against
8/9/2014,Spain,62,14,8,6,5,1
9/10/2014,Spain,67,17,10,7,1,2
12/10/2014,Spain,66,17,8,9,4,0
15/11/2014,Spain,72,7,4,3,3,0
27/3/2015,Spain,64,12,5,7,1,0
14/6/2015,Spain,65,20,10,10,1,0
5/9/2015,Spain,75,12,3,9,2,0
8/9/2015,Spain,70,7,1,6,1,0
9/10/2015,Spain,68,19,9,10,4,0
12/10/2015,Spain,58,9,6,3,1,0
