Date,Team,Possession ,Shots,On target,Off target,Goals Scored,Goals Against
9/10/2015,Swede,64,11,6,5,2,0
12/10/2014,Swedem,67,21,10,11,2,0
8/9/2014,Sweden,44,5,2,3,1,1
9/10/2014,Sweden,43,6,4,2,1,1
15/11/2014,Sweden,51,10,3,7,1,1
27/3/2015,Sweden,61,13,7,6,2,0
14/6/2015,Sweden,53,11,6,5,3,1
5/9/2015,Sweden,48,9,6,3,0,1
8/9/2015,Sweden,53,9,6,3,1,4
12/10/2015,Sweden,59,10,4,6,2,0
