Date,Team,Possession ,Shots,On target,Off target,Goals Scored,Goals Against
7/9/2014,Northern Ireland,47,7,4,3,2,1
11/10/2014,Northern Ireland,59,22,9,13,2,0
14/10/2014,Northern Ireland,31,4,2,2,2,0
14/11/2014,Northern Ireland,40,6,3,3,0,2
29/3/2015,Northern Ireland,41,10,8,2,2,1
13/6/2015,Northern Ireland,50,16,6,10,0,0
4/9/2015,Northern Ireland,55,14,4,10,3,1
7/9/2015,Northern Ireland,49,7,5,2,1,1
8/10/2015,Northern Ireland,37,13,3,10,3,1
11/10/2015,Northern Ireland,44,4,3,1,1,1
