Date,Team,Possession ,Shots,On target,Off target,Goals Scored,Goals Against
9/9/2014,Czech Republic,34,8,4,4,2,1
10/10/2014,Czech Republic,43,5,3,2,2,1
13/10/2014,Czech Republic,51,7,5,2,4,2
16/11/2014,Czech Republic,58,14,3,11,2,1
28/3/2015,Czech Republic,66,16,8,8,1,1
12/6/2015,Czech Republic,47,8,3,5,1,2
3/9/2015,Czech Republic,64,12,2,10,2,1
6/9/2015,Czech Republic,57,10,8,2,2,1
10/10/2015,Czech Republic,58,7,2,5,0,2
13/10/2015,Czech Republic,44,6,3,3,3,2
