Date,Team,Possession ,Shots,On target,Off target,Goals Scored,Goals Against
10/10/2014,Belgium,75,25,11,14,6,0
13/10/2014,Belgium,59,16,8,8,1,1
16/11/2014,Belgium,57,13,5,8,0,0
28/3/2015,Belgium,62,17,11,6,5,0
31/3/2015,Belgium,55,15,7,8,1,0
12/6/2015,Belgium,61,9,2,7,0,1
3/9/2015,Belgium,63,15,6,9,3,1
6/9/2015,Belgium,54,16,8,8,1,0
10/10/2015,Belgium,75,13,9,4,4,1
13/10/2015,Belgium,62,20,9,11,3,1
