Date,Team,Possession ,Shots,On target,Off target,Goals Scored,Goals Against
7/9/2014,Portugal,60,16,4,12,0,1
14/10/2014,Portugal,44,11,5,6,1,0
14/11/2014,Portugal,64,17,5,12,1,0
29/3/2015,Portugal,53,9,5,4,2,1
13/6/2015,Portugal,46,6,4,2,3,2
7/9/2015,Portugal,52,16,6,10,0,1
8/10/2015,Portugal,50,13,7,6,1,0
11/10/2015,Portugal,43,7,5,2,2,1
