Date,Team,Possession ,Shots,On target,Off target,Goals Scored,Goals Against
7/9/2014,Hungary,53,7,4,3,1,2
11/10/2014,Hungary,40,4,2,2,1,1
14/10/2014,Hungary,42,9,7,2,1,0
14/11/2014,Hungary,44,6,4,2,1,0
29/3/2015,Hungary,39,9,3,6,0,0
13/6/2015,Hungary,53,12,7,5,1,0
4/9/2015,Hungary,42,8,3,5,0,0
7/9/2015,Hungary,51,8,2,6,1,1
8/10/2015,Hungary,64,21,9,12,2,1
11/10/2015,Hungary,45,10,5,5,3,4
