Date,Team,Possession ,Shots,On target,Off target,Goals Scored,Goals Against
8/9/2014,Ukraine ,55,12,3,9,0,1
9/10/2014,Ukraine ,61,6,2,4,2,0
12/10/2014,Ukraine ,62,15,5,10,1,0
15/11/2014,Ukraine ,58,12,5,7,3,0
27/3/2015,Ukraine ,36,10,4,6,0,1
14/6/2015,Ukraine ,67,13,6,7,3,0
5/9/2015,Ukraine ,51,18,10,8,3,1
8/9/2015,Ukraine ,58,7,1,6,0,0
9/10/2015,Ukraine ,65,16,8,8,2,0
12/10/2015,Ukraine ,42,22,10,12,0,1
