Date,Team,Possession ,Shots,On target,Off target,Goals Scored,Goals Against
9/9/2014,Italy ,50,11,6,5,2,0
10/10/2014,Italy ,61,18,4,14,2,1
13/10/2014,Italy ,71,13,4,9,1,0
16/11/2014,Italy ,40,6,2,4,1,1
28/3/2015,Italy ,65,14,6,8,2,2
12/6/2015,Italy ,57,7,4,3,1,1
3/9/2015,Italy ,63,13,4,9,1,0
6/9/2015,Italy ,50,19,7,12,1,0
10/10/2015,Italy ,47,11,6,5,3,1
13/10/2015,Italy ,59,16,9,7,2,1
